feature,importance
distance_to_main_road_m,0.24730189454532972
hour_sin,0.20347260206925366
hour_cos,0.10082385845199275
crowd_level,0.09214020294649874
lighting_level,0.08760340875190403
area_type,0.061594416710688916
is_weekend,0.035290695132562
cctv_present,0.032173916220424904
past_incidents_level,0.03208279187885541
police_station_within_1km,0.0311967250185483
shops_open_at_night,0.030527634968589127
area_crime_risk,0.02763171729570461
near_metro_or_bus,0.011182502896237564
group_travel,0.006977633113410318
audit_score_mean,0.0
dist_to_bus_m,0.0
dist_to_metro_m,0.0
dist_to_police_m,0.0
dist_to_hospital_m,0.0
