lighting_level,crowd_level,distance_to_main_road_m,shops_open_at_night,police_station_within_1km,cctv_present,hour_of_day,is_weekend,area_type,near_metro_or_bus,past_incidents_level,group_travel,area_crime_risk,audit_score_mean,dist_to_metro_m,dist_to_bus_m,dist_to_hospital_m,dist_to_police_m,safety_label
0,0,512,0,0,1,0,0,0,0,2,0,1,2.29,3215,2554,6708,2201,0
0,0,545,1,0,0,0,0,0,0,2,0,2,1.64,3979,2078,3792,4742,0
0,0,634,1,0,0,0,0,2,0,1,0,2,1.76,3556,977,4958,5389,0
0,0,736,0,0,0,0,1,0,0,2,1,2,1.56,2177,1150,5925,2175,0
0,0,914,0,0,0,0,1,0,0,2,0,1,1.68,3814,2456,6497,4244,0
0,1,1115,0,1,0,0,0,0,0,2,0,1,1.99,1641,1368,2752,1928,0
0,0,1127,1,0,0,0,0,2,1,1,0,2,2.05,3731,1491,5797,2309,0
0,0,1214,0,0,0,0,1,0,1,1,0,2,2.21,3758,1779,6897,3456,0
0,0,1265,1,0,0,0,0,0,0,2,1,2,2.3,2369,1232,3650,5410,0
0,0,1291,0,0,0,0,1,0,0,2,0,1,1.2,3699,2003,4352,4859,0
0,1,1306,0,0,0,0,0,1,0,2,1,1,1.0,2999,1443,5927,2968,0
0,0,1396,0,1,1,0,1,0,1,2,0,2,1.28,3285,1616,4700,5160,0
0,0,461,0,0,1,1,1,0,0,2,1,2,1.37,3450,2460,3663,3879,0
0,0,694,0,0,0,1,1,0,0,1,0,2,1.99,1663,1749,5539,3155,0
0,0,1120,1,0,0,1,1,1,0,1,0,2,1.75,2697,2183,6197,5373,0
0,0,1128,0,0,1,1,1,1,0,1,0,2,2.4,3556,1091,5668,3882,0
0,0,1160,0,0,0,1,1,0,0,1,0,1,2.04,1525,1087,6545,2681,0
0,1,1174,0,0,0,1,1,1,1,2,0,1,2.31,2542,1823,4197,4873,0
0,0,1215,0,0,0,1,0,1,1,2,1,2,2.32,2212,1055,4189,2217,0
